name,year,price,dist,lat,lng
万柳书院,2015,179730,海淀,39.979047270405914,116.29949984829848
紫玉山庄,2007,165428,朝阳,40.01854022542414,116.41860878095243
水清木华园,2000,126675,海淀,39.99618650479748,116.33390521882228
富成花园,1998,150003,朝阳,39.99743687428151,116.44634126865648
碧水庄园,1994,99133,昌平,40.12173754267575,116.28561204511422
碧桐园,2008,61746,海淀,39.93605353216656,116.23059828856381
龙湖颐和原著,2010,131987,海淀,40.00369410965997,116.29409016268684
新城国际,2004,128475,朝阳,39.9239100117639,116.46225016940762
远洋风景,2004,134076,海淀,39.952254512659394,116.36681014965278
北京玫瑰园,1995,83989,昌平,39.916941847084814,116.37945119461975
阳光上东,2006,99013,朝阳,39.971701367086325,116.4884370326512
国锐金嵿,2020,64976,大兴,39.796677571072685,116.51449022803489
保利西山林语,2010,74519,海淀,40.044811468348676,116.2217337199608
远洋天地,2002,81018,朝阳,39.91932512712221,116.4988620477556
棕榈泉国际公寓,2003,118910,朝阳,39.938331030318466,116.48692401668075
紫金长安,2008,148440,海淀,39.92233720674776,116.2865024455357
万泉新新家园,2000,170926,海淀,39.97771203753077,116.30557499863191
格拉斯小镇,2019,78741,通州,40.00811130012989,116.65335460563374
中冶德贤公馆,2017,66276,大兴,39.82629884888041,116.43574907889668
流星花园三区,2000,69181,昌平,40.09708678440699,116.34634890606871
西钓鱼台嘉园,2005,120722,海淀,39.92642210818399,116.30491698984585
星河湾朗园,2007,104194,朝阳,39.93477485227087,116.52969818099662
北京北,2008,79558,昌平,40.062538521828685,116.41389851601086
建邦枫景,2011,65155,丰台,39.87376555254016,116.26347600073734
中海紫御公馆,2010,133618,东城,39.87631999358053,116.39859013249313
红玺台,2011,167833,朝阳,39.98544641664814,116.44573356497898
观唐,2000,108214,朝阳,40.434025132468406,116.83725544014477
霞公府,2010,159482,东城,39.916202926136954,116.41451259765748
金色漫香苑,2013,47293,昌平,40.13587755581321,116.43049488996881
丽宫别墅,2007,104072,顺义,40.05811100808963,116.56672184259035
万柳书院,2015,179730,海淀,39.979047270405914,116.29949984829848
紫玉山庄,2007,165428,朝阳,40.01854022542414,116.41860878095243
水清木华园,2000,126675,海淀,39.99618650479748,116.33390521882228
富成花园,1998,150003,朝阳,39.99743687428151,116.44634126865648
碧水庄园,1994,99133,昌平,40.12173754267575,116.28561204511422
碧桐园,2008,61746,海淀,39.93605353216656,116.23059828856381
龙湖颐和原著,2010,131987,海淀,40.00369410965997,116.29409016268684
新城国际,2004,128475,朝阳,39.9239100117639,116.46225016940762
远洋风景,2004,134076,海淀,39.952254512659394,116.36681014965278
北京玫瑰园,1995,83989,昌平,39.916941847084814,116.37945119461975
阳光上东,2006,99013,朝阳,39.971701367086325,116.4884370326512
国锐金嵿,2020,64976,大兴,39.796677571072685,116.51449022803489
保利西山林语,2010,74519,海淀,40.044811468348676,116.2217337199608
远洋天地,2002,81018,朝阳,39.91932512712221,116.4988620477556
棕榈泉国际公寓,2003,118910,朝阳,39.938331030318466,116.48692401668075
紫金长安,2008,148440,海淀,39.92233720674776,116.2865024455357
万泉新新家园,2000,170926,海淀,39.97771203753077,116.30557499863191
格拉斯小镇,2019,78741,通州,40.00811130012989,116.65335460563374
中冶德贤公馆,2017,66276,大兴,39.82629884888041,116.43574907889668
流星花园三区,2000,69181,昌平,40.09708678440699,116.34634890606871
西钓鱼台嘉园,2005,120722,海淀,39.92642210818399,116.30491698984585
星河湾朗园,2007,104194,朝阳,39.93477485227087,116.52969818099662
北京北,2008,79558,昌平,40.062538521828685,116.41389851601086
建邦枫景,2011,65155,丰台,39.87376555254016,116.26347600073734
中海紫御公馆,2010,133618,东城,39.87631999358053,116.39859013249313
红玺台,2011,167833,朝阳,39.98544641664814,116.44573356497898
观唐,2000,108214,朝阳,40.434025132468406,116.83725544014477
霞公府,2010,159482,东城,39.916202926136954,116.41451259765748
金色漫香苑,2013,47293,昌平,40.13587755581321,116.43049488996881
丽宫别墅,2007,104072,顺义,40.05811100808963,116.56672184259035
朱雀门小区,2008,164824,西城,39.88327128374965,116.39554128359225
弘善家园,2009,55352,朝阳,39.87545908740894,116.45803496063262
望京西园三区,2003,74986,朝阳,40.00566806430206,116.48086503584649
