name,year,price,dist,lat,lng,age,dist_tam,dist_code,cnt_school,cnt_subway,cnt_hospital,cnt_mall,cnt_office
万柳书院,2015,179730,海淀,39.97904727040592,116.29949984829848,7,11.334481762385822,1,30,34,7,4,4
紫玉山庄,2007,165428,朝阳,40.01854022542414,116.41860878095244,15,12.227763481953087,2,0,0,0,0,0
水清木华园,2000,126675,海淀,39.99618650479748,116.33390521882228,22,11.016146491237496,1,19,14,3,3,9
富成花园,1998,150003,朝阳,39.99743687428151,116.44634126865648,24,10.606157477559929,2,9,5,2,1,0
碧水庄园,1994,99133,昌平,40.12173754267575,116.28561204511422,28,25.387512554572933,5,0,0,0,0,0
碧桐园,2008,61746,海淀,39.93605353216656,116.2305982885638,14,14.469664760844136,1,3,3,0,2,0
龙湖颐和原著,2010,131987,海淀,40.00369410965997,116.29409016268684,12,13.63772344775853,1,8,12,2,2,3
新城国际,2004,128475,朝阳,39.9239100117639,116.46225016940762,18,5.752382429011474,2,28,39,4,10,1
远洋风景,2004,134076,海淀,39.952254512659394,116.36681014965278,18,5.394626756735805,1,46,38,14,5,2
北京玫瑰园,1995,83989,昌平,39.916941847084814,116.37945119461976,27,1.7170444348550695,5,44,43,14,2,4
阳光上东,2006,99013,朝阳,39.971701367086325,116.4884370326512,16,10.375875160227713,2,9,8,5,3,5
国锐金嵿,2020,64976,大兴,39.796677571072685,116.51449022803487,2,16.01694048303579,10,1,9,0,0,0
保利西山林语,2010,74519,海淀,40.04481146834868,116.2217337199608,12,21.164096046590156,1,5,0,0,0,0
远洋天地,2002,81018,朝阳,39.91932512712221,116.4988620477556,20,8.709114084355472,2,27,19,1,4,1
棕榈泉国际公寓,2003,118910,朝阳,39.93833103031847,116.48692401668076,19,8.26663489396163,2,17,6,1,4,0
紫金长安,2008,148440,海淀,39.92233720674776,116.2865024455357,14,9.52060523272191,1,18,8,6,1,0
万泉新新家园,2000,170926,海淀,39.97771203753077,116.30557499863193,22,10.857670615855007,1,33,37,7,2,6
格拉斯小镇,2019,78741,通州,40.00811130012989,116.65335460563374,3,24.369406440288746,7,1,0,0,0,0
中冶德贤公馆,2017,66276,大兴,39.82629884888041,116.43574907889668,5,9.80991562401816,10,8,15,0,1,1
流星花园三区,2000,69181,昌平,40.09708678440699,116.34634890606873,22,21.255471042127226,5,5,0,3,0,0
西钓鱼台嘉园,2005,120722,海淀,39.92642210818399,116.30491698984584,17,8.068236635419728,1,20,22,6,2,3
星河湾朗园,2007,104194,朝阳,39.93477485227087,116.52969818099662,15,11.605367055511048,2,6,3,2,3,0
北京北,2008,79558,昌平,40.062538521828685,116.41389851601086,14,17.034747934164177,5,13,12,6,1,0
建邦枫景,2011,65155,丰台,39.87376555254016,116.26347600073734,11,12.04875154653536,11,0,3,0,0,0
中海紫御公馆,2010,133618,东城,39.87631999358053,116.39859013249313,12,3.696401341858369,4,7,12,2,1,0
红玺台,2011,167833,朝阳,39.98544641664814,116.44573356497898,11,9.374505084214876,2,22,18,4,0,3
观唐,2000,108214,朝阳,40.434025132468406,116.83725544014476,22,69.19851855267275,2,0,0,0,0,0
霞公府,2010,159482,东城,39.91620292613696,116.41451259765748,12,1.6420930767764876,4,35,60,11,9,3
金色漫香苑,2013,47293,昌平,40.13587755581321,116.4304948899688,9,25.275089733892532,5,1,0,1,0,0
丽宫别墅,2007,104072,顺义,40.05811100808963,116.56672184259035,15,21.89613770540443,18,4,3,0,0,0
万柳书院,2015,179730,海淀,39.97904727040592,116.29949984829848,7,11.334481762385822,1,30,34,7,4,4
紫玉山庄,2007,165428,朝阳,40.01854022542414,116.41860878095244,15,12.227763481953087,2,0,0,0,0,0
水清木华园,2000,126675,海淀,39.99618650479748,116.33390521882228,22,11.016146491237496,1,19,14,3,3,9
富成花园,1998,150003,朝阳,39.99743687428151,116.44634126865648,24,10.606157477559929,2,9,5,2,1,0
碧水庄园,1994,99133,昌平,40.12173754267575,116.28561204511422,28,25.387512554572933,5,0,0,0,0,0
碧桐园,2008,61746,海淀,39.93605353216656,116.2305982885638,14,14.469664760844136,1,3,3,0,2,0
龙湖颐和原著,2010,131987,海淀,40.00369410965997,116.29409016268684,12,13.63772344775853,1,8,12,2,2,3
新城国际,2004,128475,朝阳,39.9239100117639,116.46225016940762,18,5.752382429011474,2,28,39,4,10,1
远洋风景,2004,134076,海淀,39.952254512659394,116.36681014965278,18,5.394626756735805,1,46,38,14,5,2
北京玫瑰园,1995,83989,昌平,39.916941847084814,116.37945119461976,27,1.7170444348550695,5,44,43,14,2,4
阳光上东,2006,99013,朝阳,39.971701367086325,116.4884370326512,16,10.375875160227713,2,9,8,5,3,5
国锐金嵿,2020,64976,大兴,39.796677571072685,116.51449022803487,2,16.01694048303579,10,1,9,0,0,0
保利西山林语,2010,74519,海淀,40.04481146834868,116.2217337199608,12,21.164096046590156,1,5,0,0,0,0
远洋天地,2002,81018,朝阳,39.91932512712221,116.4988620477556,20,8.709114084355472,2,27,19,1,4,1
棕榈泉国际公寓,2003,118910,朝阳,39.93833103031847,116.48692401668076,19,8.26663489396163,2,17,6,1,4,0
紫金长安,2008,148440,海淀,39.92233720674776,116.2865024455357,14,9.52060523272191,1,18,8,6,1,0
万泉新新家园,2000,170926,海淀,39.97771203753077,116.30557499863193,22,10.857670615855007,1,33,37,7,2,6
格拉斯小镇,2019,78741,通州,40.00811130012989,116.65335460563374,3,24.369406440288746,7,1,0,0,0,0
中冶德贤公馆,2017,66276,大兴,39.82629884888041,116.43574907889668,5,9.80991562401816,10,8,15,0,1,1
流星花园三区,2000,69181,昌平,40.09708678440699,116.34634890606873,22,21.255471042127226,5,5,0,3,0,0
