name,year,price,lat,lng
万柳书院,2015,179732,39.979047270405914,116.29949984829848
紫玉山庄,2007,165428,40.01854022542414,116.41860878095243
富成花园,1998,150003,39.99743687428151,116.44634126865648
安宁佳园,2007,98457,40.05697642007909,116.33419087997447
碧水庄园,1994,99147,40.12173754267575,116.28561204511422
碧桐园,2008,61736,39.93605353216656,116.23059828856381
北京玫瑰园,1995,83976,39.916941847084814,116.37945119461975
龙湖颐和原著,2010,131909,40.00369410965997,116.29409016268684
阳光上东,2006,98948,39.971701367086325,116.4884370326512
保利西山林语,2010,74513,40.044811468348676,116.2217337199608
紫金长安,2008,148407,39.92233720674776,116.2865024455357
新城国际,2004,128413,39.9239100117639,116.46225016940762
棕榈泉国际公寓,2003,118903,39.938331030318466,116.48692401668075
万泉新新家园,2000,170947,39.97771203753077,116.30557499863191
星河湾朗园,2007,104032,39.93477485227087,116.52969818099662
远洋天地,2002,80915,39.91932512712221,116.4988620477556
金色漫香苑,2013,47222,40.13587755581321,116.43049488996881
格拉斯小镇,2019,78741,40.00811130012989,116.65335460563374
流星花园三区,2000,68875,40.09708678440699,116.34634890606871
远洋风景,2004,134293,39.952254512659394,116.36681014965278
西钓鱼台嘉园,2005,120278,39.92642210818399,116.30491698984585
中海紫御公馆,2010,133647,39.87631999358053,116.39859013249313
北京北,2008,79561,40.062538521828685,116.41389851601086
国锐金嵿,2020,65000,39.796677571072685,116.51449022803489
朱雀门小区,2008,164824,39.88327128374965,116.39554128359225
水清木华园,2000,126675,39.99618650479748,116.33390521882228
星河湾畅园,2006,101405,39.93286569211888,116.5290854064474
珠江绿洲家园,2007,53147,39.913965431139495,116.56775076172148
霞公府,2010,159482,39.916202926136954,116.41451259765748
新怡家园,2006,148201,39.90456742430337,116.42158378914037
红玺台,2011,167808,39.98544641664814,116.44573356497898
观唐,2000,108340,40.434025132468406,116.83725544014477
东山墅,2005,129797,39.95742010431022,116.50018004159983
中冶德贤公馆,2017,66217,39.82629884888041,116.43574907889668
纽约豪园,2005,70262,39.92136351435942,116.47735104435257
首创禧瑞都,2013,164035,39.92452469548403,116.47191036720083
弘善家园,2009,55565,39.87545908740894,116.45803496063262
美景东方,2004,77778,39.87562963601552,116.47709664423213
丽宫别墅,2007,104019,40.05811100808963,116.56672184259035
金港国际,2005,91172,39.90323058724972,116.48686796241692
新龙城,2006,64243,40.07476902126643,116.33070662239291
山水文园东园,2005,97581,39.87200739352156,116.48957231115472
三嘉信苑,2015,52213,40.133325024638175,116.2118720322417
珠江壹千栋,2012,57564,40.12451829511501,116.39646025012897
丽泽景园,2011,86530,39.87069532045027,116.31352967358386
御汤山熙园,2016,54311,40.18827763903629,116.38988851650961
公园悦府,2018,74460,40.0961220865391,116.36091798415173
今日家园,2002,91102,39.90809758000684,116.2890079094336
望京西园三区,2003,74969,40.00566806430206,116.48086503584649
王府花园,2002,58257,40.11341204783705,116.40877700680682
丽都壹号,2011,93655,39.98502764373342,116.51295933578479
万象新天家园,2003,66600,39.935548010434886,116.59934551396567
炫特区,2004,75266,39.93669874116624,116.51106004844505
朗琴园,2002,130797,39.89254809211172,116.3480442780577
百环家园,2005,66274,39.896423048360454,116.47143902629975
香山清琴,2008,161420,39.98581100957385,116.22127549432015
万城华府海园,2006,179548,39.97760028315187,116.29733079981408
尚峰尚水,2015,76869,40.0514467222591,116.19167183623883
恋日国际,2002,64994,39.91112662221902,116.47149121784987
逸成东苑,2006,110530,40.019416378727634,116.35644630915361
世茂奥临花园,2007,90545,40.04057149869731,116.40962643051942
龙山新新小镇,2008,29172,40.292113148493485,116.64204170536328
丽泽雅园,2001,81202,39.8767995159479,116.3294133319502
华腾园,2001,79591,39.893108738921065,116.47187470447209
人济山庄,2003,117871,40.34511155949335,116.57166629577839
一栋洋房,2002,69121,40.12034274195488,116.43764110714636
紫御华府,2013,104685,40.04723934521485,116.41618928489186
财富公馆,2012,57812,39.91083544320716,116.51696910208967
远洋万和公馆,2013,131590,40.00873081672633,116.49188975970935
西城晶华,2008,174571,39.92697867159922,116.37239572348327
西山美墅馆,2004,114787,39.96099507432439,116.23845127533203
翡翠公园,2022,74416,39.77354406377935,116.3268299849646
褐石园,2005,163803,40.02090840337195,116.32798233127279
万泉盛景园,2002,77103,39.862345499095134,116.33721781022088
金星园,2005,117270,39.9737958247671,116.46358316495389
芍药居北里小区,1990,95338,39.99194888164441,116.44254296346864
颐源居,2003,127218,39.92127331724234,116.31167925406385
太阳公元(北区),2012,171425,39.9877993747635,116.44895057667131
华龙苑南里,1995,61359,40.080924706981904,116.37248744047584
国兴观湖国际,2006,107696,39.94095606784087,116.50078199612207
龙湾别墅,2004,75209,40.089332591454856,116.51280222215108
丰汇园小区,1999,177134,39.92151617132381,116.37407636326189
圣世一品,2010,99310,39.93133598982528,116.46548712348228
保利垄上,2010,41201,40.1706108884614,116.4017031204074
保利中央公园,2012,149384,40.003279041986204,116.49597902605187
望京西园四区,2000,75337,40.0023156993542,116.47537522138336
温哥华森林,2018,53186,40.13953666570633,116.42026840038211
北京洋房,2007,43770,40.12034274195488,116.43764110714636
青年汇佳园,2006,90717,39.92869031586396,116.5194385439366
润泽庄园,2012,94611,40.061823137090634,116.44414679812614
永泰东里,2000,81882,40.04064393344764,116.36539495915237
慧谷阳光,2004,101741,40.00915648931875,116.48677337084673
华业东方玫瑰,2012,52097,39.885909106734324,116.6915560355816
广渠金茂府(北区),2013,146091,39.900794434729185,116.49135481877816
保利百合花园,2008,108737,39.88276585369942,116.31140832512206
远洋沁山水,2009,103380,39.908432563404965,116.25716639266581
华纺易城,2010,87252,39.9373172508755,116.5225430877791
中海凯旋,2004,179751,39.91896418876548,116.37098727027417
润泽御府,2021,178117,40.06270011048247,116.4373485118572
京投银泰万科西华府,2017,71653,39.818957895992675,116.31094237405402
新世界太华公寓,1999,77063,39.903274867544155,116.42328688655674
八家嘉园,2014,86825,40.02181422489977,116.35013679091263
北京城建海梓府,2015,79090,39.76349437821777,116.4906695015046
纳帕溪谷,2005,45910,40.17664868151637,116.43211678056709
招商嘉铭珑原,2012,87141,40.04560843466651,116.40587044949875
首邑溪谷,2016,67571,39.76666310216808,116.31665389031701
山水文园西园,2008,98411,39.87264255101285,116.47234299113444
天通苑北二区,2004,44357,40.082314075312674,116.42826870925397
远洋LAVIE,2015,123744,40.03515384881232,116.54897051723823
天通西苑三区,2002,39724,40.08336605392773,116.41581621861357
天通苑北一区,2004,44615,40.08068318280086,116.42355610871809
金隅万科城,2012,48201,40.215697533554675,116.24286087741942
世纪东方嘉园(南区),2004,68827,39.88051666865963,116.50059964010354
北京印象,2003,106211,39.93243443916704,116.28382172223283
国瑞城(中区),2006,130648,39.905126242351,116.43058445102815
御汤山东区,2016,50741,39.910924547299565,116.4133836971231
一瓶,2009,173871,39.872658748282,116.50823936914371
季景沁园,2008,92374,40.00144347004279,116.4619274082379
合顺家园,2015,52577,39.81561009364535,116.38031401706208
九号公寓,2010,72848,40.01268970342931,116.25560980887812
农光里小区,1995,68298,39.889828868750435,116.47106640917421
马家堡西里,1985,59286,39.85883761510765,116.38072103928864
华贸公寓,2005,102972,39.91758108123801,116.48693596414404
望春园,2008,69545,40.05284910373169,116.4254103130148
兴隆都市馨园,2003,114681,39.90151207441506,116.42059798867372
上地东里,2000,97798,40.03839500537389,116.3211091263243
沿海赛洛城(南区),2007,74371,39.90454244792831,116.51103202131314
北京城建世华泊郡,2012,92435,40.05620057347284,116.43070662057751
润泽悦溪,2010,112457,40.05918089692315,116.43678725057455
西堤红山,2013,145474,39.89992622726553,116.34024572860336
九龙花园,2013,66418,39.90004219186226,116.4772281561588
西山壹号院(北区),2011,108404,40.04909355891476,116.27610330162999
马连道中里(三区),2000,118554,39.89092030797064,116.33707524913645
北京壹号庄园(东方普罗旺斯四期),2015,78711,40.13443205960186,116.45564699509545
林奥嘉园,2014,74936,40.04083809591461,116.41431308400372
智学苑,2005,78751,40.0567599377504,116.31795032482903
荣丰2008,2007,165249,39.90028007088735,116.34332601819709
天润福熙大道,2016,103225,39.910924547299565,116.4133836971231
新起点嘉园,2005,115224,39.96761538835096,116.31069408241106
富力尚悦居,2015,32243,39.77770478925122,116.5943912692476
怡海花园富润园,2001,61227,39.837845935836064,116.30828249143899
中粮天恒天悦壹号,2020,74515,39.81229067047068,116.36921356604473
北京风景,2015,46647,39.91619946739804,116.48556137705266
珠江骏景北区,2004,72521,39.86131694744885,116.40208085787434
泛海国际樱海园,2008,126004,39.945591973202276,116.50305470906231
远洋山水(北区),2008,79542,39.908185165664406,116.24631881464953
雍景四季,2010,67981,39.938331237775195,116.21027906708085
中国院子,2010,109776,39.92552151293479,116.74720255853326
天鹅湾(北区),2009,125059,39.92800408642372,116.52950172158158
观承别墅,2021,78893,40.131049047078434,116.49998699574574
上地佳园,2005,128857,40.03832864808611,116.32456311101016
泛海世家西府,2017,171986,39.94800460142947,116.50312756163918
金海国际,2005,67941,39.90065764504782,116.49772775738815
望京金茂府,2014,127676,40.025077499268086,116.46773046183235
新景家园(东区),2010,127521,39.90143416673244,116.43208929241847
钓鱼台7号院,2011,172346,39.92566240248111,116.3276444785705
太阳园,2002,141066,39.97647381360622,116.34739597097115
万科星园,2001,92577,40.03496277744816,116.41929796093969
西环里,2000,38338,40.23382744772882,116.22797568562741
依莲轩,2001,109846,39.8909116579062,116.33495425999683
芳古园一区,1992,70150,39.874733074373154,116.43110403093513
合生霄云路8号,2013,146819,39.97102780649199,116.4803980966424
金隅丽景园,2010,52115,39.931887326060846,116.61872411974912
今典花园,2014,113746,39.959313279476234,116.36635964943952
亚运新新家园,2000,108971,40.01732208757103,116.4411039678722
林肯公园C区,2010,74809,39.81002003486646,116.49835693056734
宣颐家园,2004,55264,39.81721176110026,116.45906882044405
鸿坤理想城礼域府,2012,61168,39.79953778601924,116.3486631207235
中国铁建国际城,2011,100694,40.052313336787996,116.4463115347441
领秀硅谷,2005,90718,40.06167597286904,116.3209786025337
北分厂家属区,1990,67630,40.07349150818456,116.17209470493768
东区国际公寓,2005,71237,39.91951714720663,116.49405494548006
吉晟别墅,2003,59117,40.073762665133344,116.34492581047981
京洲世家,2010,41998,39.87954922907002,116.6402352129827
沿海赛洛城(北区),2007,67459,39.905916826781265,116.50971591391045
北辰红橡墅,2015,38797,40.14965944395065,116.41350874125008
珠江罗马嘉园(西区),2004,80073,39.9313099858983,116.51808246193875
茉藜园,2004,60946,40.04557204907456,116.4305310018503
亿城西山华府禧园,2011,101345,40.03793512938852,116.28601915717134
松榆西里,1998,63625,39.88113008384472,116.47203298590294
鸿坤林语墅,2017,73792,39.794625121800806,116.34803547466369
永丰嘉园(百旺杏林湾),2018,66111,40.084916493557024,116.26275187666575
育新花园,1999,78343,39.66468808900924,116.63823199169545
龙湖唐宁one,2011,154507,39.99436151951075,116.34165013943766
中粮瑞府,2016,100405,40.055787070309854,116.52597102160517
君山别墅,2010,28000,40.45292049938661,116.83455369649295
华清嘉园,2002,117909,39.99719705552086,116.34224697361849
中海雅园,2002,99134,39.94172514498516,116.30798560146793
南湖东园一区,1997,74582,40.00870878004896,116.47186419429761
倚林佳园,2002,104318,40.02077689766063,116.3790153367863
金科帕提欧,2009,34086,40.189040462268146,116.40195275950862
天通苑北三区,2005,45292,40.08296368870586,116.44012625215514
澳洲康都,2007,100712,40.01861737710057,116.46522850132597
嘉园二里,1994,65346,39.8548780562489,116.37424497520611
香江花园(别墅),1997,111967,40.037480291010986,116.52962389113092
西马金润家园,2005,62327,39.8442010547269,116.38928701114014
中海御鑫阁,2013,70855,39.824401481998166,116.30572537497427
宋家庄家园,1991,60236,39.853638768789594,116.43295732503277
育新花园北里,2015,24199,39.66995624938157,116.63997209929883
左安浦园,2004,99728,39.87960819773751,116.4445752898544
北京太阳城,2009,36203,39.86818607897775,116.40484701003122
西山庭院,2015,106752,40.02422289835444,116.28101272090314
南庭新苑北区,2011,55349,39.81305670021641,116.37540280117791
NAGA上院,2008,79517,39.9478838787126,116.43450474610425
角门东里小区,1993,56976,39.8539880757951,116.390879976301
新世界丽樽,2015,48950,40.14128575625407,116.49973969223885
华城滨河世家,2008,126273,40.150777791822,117.10603725212415
康泽佳苑,2010,39853,39.772571291965136,116.21327814985648
金隅瑞和园,2012,75288,39.92657841948321,116.24075147642088
远洋新干线,2005,82850,39.96329655212714,116.46691605805701
左安漪园,2005,107756,39.87975554997069,116.44729715554963
珠江骏景中区,2002,70779,39.85803215190153,116.40318253975178
上元君庭,2008,81232,40.03160233298801,116.4190821879562
椿树园奥运社区,1999,143777,39.90010183467449,116.38465274284472
光熙家园,2007,99376,39.97054272599452,116.43929519877226
万国城MOMA,2007,124036,39.953726100267566,116.4456330445924
公园1872,2013,95637,39.93189272044746,116.50400727222511
嘉润花园,2001,65503,39.99167864040097,116.48535997695733
枫丹丽舍,2003,85521,40.06977546482662,116.36831085883776
天伦锦城,2010,49270,39.82273341515804,116.34071823730162
兴隆家园(北区),2002,66386,39.92113622292859,116.53043568982031
华润公元九里,2016,67755,39.77095311743106,116.32612697107248
清上园,2003,83972,40.04473517505695,116.33705656438184
泛海国际碧海园,2008,119076,39.945591973202276,116.50305470906231
上京新航线,2007,106252,40.015484409583294,116.47152274837327
润泽公馆,2014,98869,40.05917696227042,116.44414805575387
怡海花园恒泰园,2005,69607,39.84123073421871,116.30669886865543
南新园小区,1997,61825,39.87549210354837,116.48147498528778
国融国际,2008,39760,39.80769625127198,116.50815591656183
丽都水岸,2001,98916,39.97552958009789,116.49058892350035
金泉家园,2004,94353,40.01088153430118,116.41903484725582
玉林里,1995,71848,39.87243987716534,116.36866128781719
富力十号,2012,171149,39.90388454891536,116.46113815701683
加州水郡西区,2005,32216,39.774246200518995,116.16881678813176
清芷园(一期),2000,123412,39.87990857724562,116.37865116373256
威尼斯花园,2006,38213,40.11547660261615,116.4260690285517
百旺家苑,2003,99647,40.035286293337194,116.27535779788728
梵谷水郡,2008,67928,39.96659409713264,116.51334839190116
万城华府玺园,2006,179676,39.97889978790099,116.29684508602483
远见名苑(一期),2005,115122,39.891385195415424,116.34472396123171
富力又一城(C区公寓住宅),2009,61219,39.853054947808104,116.56444194320603
保利春天里,2015,46907,39.678398555249,116.32841199079822
蓝堡国际公寓,2005,104830,39.91762721986258,116.48328462173762
绿景苑,2003,134532,39.89460375141475,116.44473321196305
嘉慧苑,2000,62992,39.95061744197401,116.31264663926756
风林绿洲,2002,102502,40.006759438318355,116.39001365046715
八仙别墅,2004,65813,40.12129485440571,116.45677634478258
燕西台,2009,89740,39.95054076597456,116.23121650241576
三丰里,1992,87514,39.9252434679064,116.44516664437162
万科公园五号,2010,96021,39.93090809947354,116.4842960239113
拂林园,2003,72720,40.0347209509003,116.42285255584267
大成郡,2011,92222,39.89456756149823,116.2750936062368
雪梨澳乡(别墅),2003,112479,40.057995727748086,116.3409461374095
泛海国际香海园,2008,124365,39.94313721763806,116.50619868851669
太平桥东里小区,1994,75377,39.89110991710682,116.32952606929169
天时名苑,2010,52777,39.91101240603404,116.64036753338432
保利罗兰香谷,2013,60080,40.12615019762974,116.26993724277895
凤凰城(一期二期四期),2002,122951,39.96729804664876,116.45919700864032
京铁家园,2004,55949,39.89955307731325,116.28670402529214
芳城园(一区),1992,67350,39.87454251975885,116.44011610130288
首创澜茵山,2013,18890,40.4187148365399,116.85355088175687
新里西斯莱公馆,2013,58119,39.77088705311424,116.34436868140251
石榴园北里小区,2001,55557,39.853635653059975,116.42787695822108
后现代城(A区),2008,80811,39.905751404651255,116.4941171980519
三环新城7号院,2003,62333,39.85749607118538,116.31638341052798
苹果社区(南区),2004,96524,39.904424069471716,116.4776739851834
臻园,2015,122451,40.025176329500354,116.47107530239875
清友园,2002,59493,40.04536402253442,116.4345277427253
西湖新村,2003,36012,40.12519412160246,116.42330143910601
华鼎世家,2004,82681,40.000928901297385,116.48173252947748
珠江帝景(B区),2004,108945,39.896008500383545,116.48694009634937
御墅临枫,2006,98285,39.97739840603632,116.25258494473437
北街家园一区,2008,50830,39.940556313008294,116.10288547556584
北京城建福润四季A区,2014,55119,39.96342374533135,116.58409740674766
紫竹花园,2002,83582,39.94997755079298,116.31024358219783
